Model,Dataset,Method,Alpha,Alpha K,Alpha S,K,Validity,Prob. Plaus.,Log Dens.,L1,L2
LR,Wine,GCE,100,1,1000,7.67,1.0,1.0,8.37,1.87,0.59
LR,Wine,GCE,100,10,1,2.33,1.0,1.0,8.29,2.1,0.67
LR,Wine,GCE,100,10,10,4.0,1.0,1.0,8.15,1.94,0.63
LR,Wine,GCE,100,10,100,5.0,1.0,1.0,8.64,2.02,0.64
LR,Wine,GCE,100,10,1000,7.0,1.0,1.0,8.63,1.87,0.59
LR,Wine,GCE,100,100,1,2.33,1.0,1.0,7.73,2.28,0.73
LR,Wine,GCE,100,100,10,2.33,1.0,1.0,7.97,2.21,0.71
LR,Wine,GCE,100,100,100,3.33,1.0,1.0,7.69,2.1,0.69
LR,Wine,GCE,100,100,1000,4.67,1.0,0.9,8.44,2.07,0.66
LR,Wine,GCE,100,1000,1,2.0,1.0,0.86,7.68,2.28,0.73
LR,Wine,GCE,100,1000,10,1.67,1.0,0.86,7.65,2.28,0.73
LR,Wine,GCE,100,1000,100,1.67,1.0,0.73,7.5,2.25,0.73
LR,Wine,GCE,100,1000,1000,2.67,1.0,0.79,6.99,2.16,0.7
LR,Wine,GCE,1000,1,1,6.0,1.0,1.0,9.14,2.3,0.74
LR,Wine,GCE,1000,1,10,6.67,1.0,1.0,9.27,2.06,0.65
LR,Wine,GCE,1000,1,100,7.67,1.0,1.0,8.56,2.02,0.63
LR,Wine,GCE,1000,1,1000,7.67,1.0,1.0,8.33,2.22,0.67
LR,Wine,GCE,1000,10,1,3.33,1.0,1.0,8.87,2.36,0.76
LR,Wine,GCE,1000,10,10,3.33,1.0,1.0,8.63,2.39,0.75
LR,Wine,GCE,1000,10,100,5.33,1.0,1.0,8.21,2.28,0.71
LR,Wine,GCE,1000,10,1000,6.0,1.0,1.0,8.14,2.12,0.65
LR,Wine,GCE,1000,100,1,2.67,1.0,1.0,8.42,2.32,0.73
LR,Wine,GCE,1000,100,10,2.67,1.0,1.0,8.28,2.38,0.75
LR,Wine,GCE,1000,100,100,3.33,1.0,1.0,8.07,2.36,0.74
LR,Wine,GCE,1000,100,1000,5.0,1.0,0.98,8.2,2.3,0.71
LR,Wine,GCE,1000,1000,1,2.67,1.0,1.0,8.11,2.44,0.78
LR,Wine,GCE,1000,1000,10,2.33,1.0,1.0,7.72,2.32,0.73
LR,Wine,GCE,1000,1000,100,2.33,1.0,1.0,7.96,2.34,0.74
LR,Wine,GCE,1000,1000,1000,3.0,1.0,1.0,8.06,2.28,0.72
MLP,Blobs,GCE,1,1,1,4.67,1.0,0.88,2.21,0.61,0.44
MLP,Blobs,GCE,1,1,10,12.33,1.0,0.86,2.22,0.61,0.44
MLP,Blobs,GCE,1,1,100,35.67,1.0,0.93,2.24,0.6,0.43
MLP,Blobs,GCE,1,1,1000,60.0,1.0,0.93,2.25,0.59,0.43
MLP,Blobs,GCE,1,10,1,1.0,1.0,0.91,2.18,0.61,0.44
MLP,Blobs,GCE,1,10,10,4.33,1.0,0.89,2.2,0.61,0.44
MLP,Blobs,GCE,1,10,100,14.33,1.0,0.9,2.2,0.61,0.44
MLP,Blobs,GCE,1,10,1000,43.33,1.0,0.92,2.23,0.6,0.43
MLP,Blobs,GCE,1,100,1,1.0,1.0,0.94,2.18,0.61,0.44
MLP,Blobs,GCE,1,100,10,1.0,1.0,0.83,2.18,0.61,0.44
MLP,Blobs,GCE,1,100,100,4.33,1.0,0.88,2.18,0.61,0.44
MLP,Blobs,GCE,1,100,1000,17.33,1.0,0.91,2.22,0.61,0.44
MLP,Blobs,GCE,1,1000,1,1.0,1.0,0.87,2.17,0.61,0.44
MLP,Blobs,GCE,1,1000,10,1.0,1.0,0.87,2.18,0.61,0.44
MLP,Blobs,GCE,1,1000,100,1.0,1.0,0.86,2.18,0.61,0.44
MLP,Blobs,GCE,1,1000,1000,3.67,1.0,0.92,2.19,0.61,0.44
MLP,Blobs,GCE,10,1,1,5.67,1.0,0.96,2.31,0.62,0.45
MLP,Blobs,GCE,10,1,10,9.67,1.0,0.99,2.35,0.61,0.44
MLP,Blobs,GCE,10,1,100,21.33,1.0,0.96,2.38,0.62,0.44
MLP,Blobs,GCE,10,1,1000,44.0,1.0,0.97,2.42,0.62,0.44
MLP,Blobs,GCE,10,10,1,2.0,1.0,0.95,2.32,0.62,0.44
MLP,Blobs,GCE,10,10,10,5.0,1.0,0.95,2.33,0.62,0.45
MLP,Blobs,GCE,10,10,100,13.0,1.0,0.96,2.34,0.62,0.44
MLP,Blobs,GCE,10,10,1000,33.33,1.0,0.98,2.4,0.62,0.44
MLP,Blobs,GCE,10,100,1,1.0,1.0,0.93,2.24,0.62,0.44
MLP,Blobs,GCE,10,100,10,1.0,1.0,0.94,2.26,0.62,0.44
MLP,Blobs,GCE,10,100,100,4.0,1.0,0.93,2.26,0.62,0.44
MLP,Blobs,GCE,10,100,1000,12.67,1.0,0.94,2.33,0.62,0.44
MLP,Blobs,GCE,10,1000,1,1.0,1.0,0.94,2.25,0.62,0.44
MLP,Blobs,GCE,10,1000,10,1.0,1.0,0.92,2.24,0.62,0.44
MLP,Blobs,GCE,10,1000,100,1.0,1.0,0.94,2.26,0.62,0.44
MLP,Blobs,GCE,10,1000,1000,4.33,1.0,0.94,2.27,0.62,0.44
MLP,Blobs,GCE,100,1,1,5.67,1.0,1.0,2.6,0.65,0.47
MLP,Blobs,GCE,100,1,10,8.67,1.0,0.99,2.64,0.65,0.47
MLP,Blobs,GCE,100,1,100,17.67,1.0,0.99,2.75,0.66,0.47
MLP,Blobs,GCE,100,1,1000,23.33,1.0,0.98,2.77,0.66,0.47
MLP,Blobs,GCE,100,10,1,2.33,1.0,0.99,2.52,0.64,0.46
MLP,Blobs,GCE,100,10,10,5.33,1.0,0.98,2.55,0.64,0.46
MLP,Blobs,GCE,100,10,100,12.0,1.0,1.0,2.7,0.65,0.46
MLP,Blobs,GCE,100,10,1000,20.33,1.0,0.96,2.76,0.66,0.47
MLP,Blobs,GCE,100,100,1,1.67,1.0,0.95,2.49,0.63,0.46
MLP,Blobs,GCE,100,100,10,1.67,1.0,0.95,2.51,0.64,0.46
MLP,Blobs,GCE,100,100,100,3.67,1.0,0.95,2.56,0.64,0.46
MLP,Blobs,GCE,100,100,1000,12.0,1.0,0.95,2.74,0.66,0.48
MLP,Blobs,GCE,100,1000,1,1.0,1.0,0.94,2.47,0.64,0.46
MLP,Blobs,GCE,100,1000,10,1.0,1.0,0.93,2.46,0.64,0.46
MLP,Blobs,GCE,100,1000,100,1.0,1.0,0.93,2.46,0.64,0.46
MLP,Blobs,GCE,100,1000,1000,3.67,1.0,0.94,2.5,0.64,0.46
MLP,Blobs,GCE,1000,1,1,5.67,1.0,1.0,2.92,0.71,0.51
MLP,Blobs,GCE,1000,1,10,7.33,1.0,1.0,2.95,0.7,0.51
MLP,Blobs,GCE,1000,1,100,13.33,1.0,0.99,3.02,0.73,0.52
MLP,Blobs,GCE,1000,1,1000,19.67,1.0,0.99,2.95,0.72,0.52
MLP,Blobs,GCE,1000,10,1,3.33,1.0,0.99,2.84,0.7,0.51
MLP,Blobs,GCE,1000,10,10,6.0,1.0,1.0,2.9,0.73,0.52
MLP,Blobs,GCE,1000,10,100,9.33,1.0,1.0,2.99,0.73,0.52
MLP,Blobs,GCE,1000,10,1000,17.33,1.0,1.0,3.02,0.72,0.52
MLP,Blobs,GCE,1000,100,1,2.33,1.0,0.98,2.61,0.66,0.48
MLP,Blobs,GCE,1000,100,10,3.0,1.0,0.97,2.64,0.67,0.49
MLP,Blobs,GCE,1000,100,100,5.33,1.0,1.0,2.9,0.71,0.51
MLP,Blobs,GCE,1000,100,1000,10.33,1.0,1.0,2.91,0.71,0.51
MLP,Blobs,GCE,1000,1000,1,1.67,1.0,0.95,2.83,0.69,0.5
MLP,Blobs,GCE,1000,1000,10,1.67,1.0,0.95,2.73,0.68,0.49
MLP,Blobs,GCE,1000,1000,100,1.67,1.0,0.95,2.75,0.68,0.49
MLP,Blobs,GCE,1000,1000,1000,4.67,1.0,0.94,2.93,0.73,0.53
MLP,Moons,GCE,1,1,1,6.5,0.97,0.87,0.83,0.54,0.4
MLP,Moons,GCE,1,1,10,15.5,0.91,0.87,0.86,0.54,0.4
MLP,Moons,GCE,1,1,100,39.5,0.92,0.86,0.83,0.52,0.39
MLP,Moons,GCE,1,1,1000,59.0,0.87,0.86,0.82,0.52,0.39
MLP,Moons,GCE,1,10,1,1.5,0.95,0.79,0.68,0.56,0.4
MLP,Moons,GCE,1,10,10,4.0,0.95,0.81,0.77,0.58,0.42
MLP,Moons,GCE,1,10,100,13.5,0.9,0.84,0.74,0.56,0.4
MLP,Moons,GCE,1,10,1000,40.5,0.92,0.86,0.85,0.53,0.39
MLP,Moons,GCE,1,100,1,1.0,0.94,0.7,0.61,0.57,0.41
MLP,Moons,GCE,1,100,10,1.0,0.92,0.71,0.64,0.57,0.41
MLP,Moons,GCE,1,100,100,4.0,0.91,0.79,0.65,0.57,0.4
MLP,Moons,GCE,1,100,1000,14.5,0.89,0.79,0.74,0.57,0.4
MLP,Moons,GCE,1,1000,1,1.0,0.92,0.76,0.63,0.57,0.41
MLP,Moons,GCE,1,1000,10,1.0,0.94,0.79,0.65,0.57,0.41
MLP,Moons,GCE,1,1000,100,1.0,0.93,0.71,0.64,0.57,0.4
MLP,Moons,GCE,1,1000,1000,4.0,0.94,0.76,0.67,0.57,0.41
MLP,Moons,GCE,10,1,1,11.5,0.99,1.0,1.01,0.56,0.41
MLP,Moons,GCE,10,1,10,19.0,1.0,0.99,1.01,0.55,0.41
MLP,Moons,GCE,10,1,100,31.0,0.96,0.99,1.0,0.53,0.4
MLP,Moons,GCE,10,1,1000,48.5,0.95,0.97,0.99,0.53,0.39
MLP,Moons,GCE,10,10,1,2.5,0.98,0.97,1.02,0.61,0.44
MLP,Moons,GCE,10,10,10,7.5,0.98,0.96,1.0,0.58,0.42
MLP,Moons,GCE,10,10,100,17.0,0.98,0.99,1.04,0.58,0.43
MLP,Moons,GCE,10,10,1000,38.5,0.95,0.96,0.99,0.55,0.41
MLP,Moons,GCE,10,100,1,1.0,0.95,0.86,0.76,0.6,0.42
MLP,Moons,GCE,10,100,10,1.5,0.95,0.85,0.82,0.61,0.43
MLP,Moons,GCE,10,100,100,4.0,0.96,0.86,0.8,0.6,0.42
MLP,Moons,GCE,10,100,1000,15.5,0.95,0.93,0.91,0.57,0.41
MLP,Moons,GCE,10,1000,1,1.0,0.93,0.87,0.83,0.6,0.43
MLP,Moons,GCE,10,1000,10,1.0,0.93,0.87,0.85,0.6,0.43
MLP,Moons,GCE,10,1000,100,1.0,0.95,0.85,0.77,0.6,0.42
MLP,Moons,GCE,10,1000,1000,5.0,0.95,0.87,0.83,0.59,0.42
MLP,Moons,GCE,100,1,1,13.5,1.0,1.0,1.37,0.62,0.46
MLP,Moons,GCE,100,1,10,25.0,0.98,1.0,1.22,0.58,0.45
MLP,Moons,GCE,100,1,100,34.5,0.98,1.0,1.25,0.57,0.43
MLP,Moons,GCE,100,1,1000,34.5,0.99,0.99,1.24,0.6,0.44
MLP,Moons,GCE,100,10,1,5.5,1.0,1.0,1.28,0.64,0.46
MLP,Moons,GCE,100,10,10,11.0,1.0,1.0,1.32,0.63,0.46
MLP,Moons,GCE,100,10,100,19.5,1.0,1.0,1.23,0.63,0.47
MLP,Moons,GCE,100,10,1000,34.0,0.99,1.0,1.23,0.62,0.46
MLP,Moons,GCE,100,100,1,3.0,0.97,0.98,1.27,0.64,0.46
MLP,Moons,GCE,100,100,10,2.5,0.97,0.99,1.26,0.65,0.47
MLP,Moons,GCE,100,100,100,5.5,1.0,0.99,1.19,0.61,0.44
MLP,Moons,GCE,100,100,1000,18.5,1.0,1.0,1.29,0.64,0.48
MLP,Moons,GCE,100,1000,1,1.0,0.98,0.86,1.01,0.67,0.48
MLP,Moons,GCE,100,1000,10,1.5,0.97,0.88,0.96,0.63,0.45
MLP,Moons,GCE,100,1000,100,1.0,0.95,0.85,0.98,0.66,0.47
MLP,Moons,GCE,100,1000,1000,4.5,0.96,0.89,1.02,0.65,0.47
MLP,Moons,GCE,1000,1,1,16.5,1.0,1.0,1.44,0.64,0.49
MLP,Moons,GCE,1000,1,10,25.0,1.0,1.0,1.48,0.66,0.5
MLP,Moons,GCE,1000,1,100,31.5,0.99,1.0,1.34,0.6,0.46
MLP,Moons,GCE,1000,1,1000,35.0,1.0,1.0,1.3,0.63,0.48
MLP,Moons,GCE,1000,10,1,7.5,1.0,1.0,1.43,0.71,0.52
MLP,Moons,GCE,1000,10,10,14.0,1.0,1.0,1.4,0.68,0.51
MLP,Moons,GCE,1000,10,100,24.5,1.0,1.0,1.35,0.66,0.5
MLP,Moons,GCE,1000,10,1000,33.5,0.98,0.99,1.27,0.64,0.48
MLP,Moons,GCE,1000,100,1,4.5,0.99,1.0,1.27,0.7,0.51
MLP,Moons,GCE,1000,100,10,5.0,0.99,1.0,1.24,0.71,0.51
MLP,Moons,GCE,1000,100,100,10.5,1.0,1.0,1.25,0.7,0.51
MLP,Moons,GCE,1000,100,1000,21.5,1.0,1.0,1.27,0.66,0.49
MLP,Moons,GCE,1000,1000,1,3.5,0.99,0.98,1.11,0.66,0.47
MLP,Moons,GCE,1000,1000,10,3.5,0.99,0.99,1.18,0.67,0.49
MLP,Moons,GCE,1000,1000,100,3.5,1.0,1.0,1.19,0.69,0.5
MLP,Moons,GCE,1000,1000,1000,5.5,0.97,0.95,1.16,0.67,0.49
MLP,Wine,GCE,1,1,1,2.67,1.0,0.86,6.54,1.58,0.52
MLP,Wine,GCE,1,1,10,5.67,1.0,0.91,6.37,1.32,0.44
MLP,Wine,GCE,1,1,100,7.0,0.97,1.0,6.32,1.37,0.46
MLP,Wine,GCE,1,1,1000,9.67,1.0,0.95,6.25,1.27,0.43
MLP,Wine,GCE,1,10,1,1.67,1.0,0.77,6.57,1.67,0.54
MLP,Wine,GCE,1,10,10,2.33,0.95,0.72,6.28,1.73,0.56
MLP,Wine,GCE,1,10,100,3.33,0.95,0.77,6.38,1.58,0.53
MLP,Wine,GCE,1,10,1000,7.0,1.0,0.95,6.15,1.34,0.45
MLP,Wine,GCE,1,100,1,1.0,1.0,0.66,5.2,1.59,0.52
MLP,Wine,GCE,1,100,10,1.0,0.98,0.64,5.22,1.61,0.53
MLP,Wine,GCE,1,100,100,2.67,0.95,0.69,5.46,1.58,0.52
MLP,Wine,GCE,1,100,1000,3.67,0.98,0.84,5.73,1.42,0.47
MLP,Wine,GCE,1,1000,1,1.0,1.0,0.66,5.18,1.58,0.52
MLP,Wine,GCE,1,1000,10,1.0,1.0,0.62,5.23,1.6,0.53
MLP,Wine,GCE,1,1000,100,1.0,0.98,0.63,5.19,1.6,0.53
MLP,Wine,GCE,1,1000,1000,1.67,0.95,0.66,5.14,1.53,0.5
MLP,Wine,GCE,10,1,1,3.33,1.0,0.98,7.07,1.65,0.53
MLP,Wine,GCE,10,1,10,5.33,1.0,1.0,7.01,1.48,0.49
MLP,Wine,GCE,10,1,100,6.33,1.0,1.0,6.95,1.41,0.47
MLP,Wine,GCE,10,1,1000,7.0,1.0,1.0,6.94,1.46,0.49
MLP,Wine,GCE,10,10,1,2.0,1.0,0.98,6.88,1.81,0.58
MLP,Wine,GCE,10,10,10,3.0,1.0,0.97,7.07,1.66,0.55
MLP,Wine,GCE,10,10,100,5.0,1.0,1.0,6.99,1.44,0.48
MLP,Wine,GCE,10,10,1000,6.33,1.0,0.95,6.56,1.5,0.5
MLP,Wine,GCE,10,100,1,1.33,1.0,0.88,6.3,1.77,0.57
MLP,Wine,GCE,10,100,10,1.33,0.98,0.9,6.8,1.85,0.59
MLP,Wine,GCE,10,100,100,2.33,1.0,0.9,6.75,1.73,0.57
MLP,Wine,GCE,10,100,1000,3.33,0.98,0.9,6.47,1.58,0.53
MLP,Wine,GCE,10,1000,1,1.0,0.92,0.66,5.21,1.65,0.54
MLP,Wine,GCE,10,1000,10,1.0,0.98,0.69,5.32,1.7,0.56
MLP,Wine,GCE,10,1000,100,1.0,0.98,0.69,5.32,1.71,0.56
MLP,Wine,GCE,10,1000,1000,2.0,0.94,0.75,5.66,1.61,0.54
MLP,Wine,GCE,100,1,1,3.33,1.0,1.0,7.5,1.85,0.59
MLP,Wine,GCE,100,1,10,6.0,1.0,1.0,7.52,1.86,0.58
MLP,Wine,GCE,100,1,100,9.0,1.0,1.0,7.72,1.85,0.59
MLP,Wine,GCE,100,1,1000,6.67,1.0,1.0,7.97,1.9,0.6
MLP,Wine,GCE,100,10,1,2.0,1.0,0.98,7.22,2.04,0.65
MLP,Wine,GCE,100,10,10,3.0,1.0,1.0,7.3,2.06,0.66
MLP,Wine,GCE,100,10,100,6.0,1.0,1.0,8.06,1.81,0.58
MLP,Wine,GCE,100,10,1000,5.67,1.0,1.0,7.55,1.89,0.6
MLP,Wine,GCE,100,100,1,2.0,1.0,1.0,7.13,2.1,0.67
MLP,Wine,GCE,100,100,10,1.67,1.0,0.93,6.98,2.13,0.68
MLP,Wine,GCE,100,100,100,3.33,1.0,1.0,7.57,1.82,0.6
MLP,Wine,GCE,100,100,1000,4.0,1.0,1.0,7.7,1.95,0.62
MLP,Wine,GCE,100,1000,1,1.67,1.0,0.95,7.0,2.08,0.67
MLP,Wine,GCE,100,1000,10,1.33,0.9,0.83,6.91,2.14,0.68
MLP,Wine,GCE,100,1000,100,1.67,1.0,0.93,6.92,2.06,0.67
MLP,Wine,GCE,100,1000,1000,3.33,1.0,0.79,6.35,2.07,0.67
MLP,Wine,GCE,1000,1,1,5.33,1.0,1.0,8.28,2.22,0.7
MLP,Wine,GCE,1000,1,10,5.33,1.0,1.0,7.97,2.29,0.71
MLP,Wine,GCE,1000,1,100,6.67,1.0,1.0,7.7,2.13,0.65
MLP,Wine,GCE,1000,1,1000,7.0,1.0,1.0,6.99,2.27,0.69
MLP,Wine,GCE,1000,10,1,2.67,1.0,1.0,7.68,2.3,0.71
MLP,Wine,GCE,1000,10,10,3.67,1.0,1.0,7.81,2.21,0.68
MLP,Wine,GCE,1000,10,100,6.67,1.0,1.0,7.85,2.2,0.68
MLP,Wine,GCE,1000,10,1000,8.33,1.0,1.0,7.73,2.21,0.68
MLP,Wine,GCE,1000,100,1,2.0,1.0,1.0,7.31,2.25,0.71
MLP,Wine,GCE,1000,100,10,1.67,1.0,1.0,7.35,2.27,0.72
MLP,Wine,GCE,1000,100,100,3.33,1.0,1.0,7.24,2.28,0.71
MLP,Wine,GCE,1000,100,1000,6.0,1.0,1.0,7.66,2.16,0.66
MLP,Wine,GCE,1000,1000,1,1.67,1.0,0.98,7.37,2.24,0.71
MLP,Wine,GCE,1000,1000,10,2.0,1.0,1.0,7.18,2.24,0.72
MLP,Wine,GCE,1000,1000,100,1.67,1.0,1.0,7.16,2.3,0.72
MLP,Wine,GCE,1000,1000,1000,3.0,1.0,1.0,7.29,2.2,0.69
