Model,Dataset,Method,K,Validity,Prob. Plaus.,CFs assigned to group,Log Dens.,L1,L2,IsoForest,LOF,Time
LR,Blobs,GCE,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 0.75 \pm 0.04 $,$ 1.0 \pm 0.0 $,$ 2.6 \pm 0.07 $,$ 0.64 \pm 0.02 $,$ 0.46 \pm 0.01 $,$ 0.02 \pm 0.0 $,$ 1.09 \pm 0.01 $,$ 21.95 \pm 4.29 $
LR,Blobs,GCE w/ magn.,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 0.92 \pm 0.03 $,$ 1.0 \pm 0.0 $,$ 2.84 \pm 0.08 $,$ 0.6 \pm 0.02 $,$ 0.43 \pm 0.01 $,$ 0.03 \pm 0.0 $,$ 1.05 \pm 0.01 $,$ 21.63 \pm 4.78 $
LR,Blobs,LCF,$ 100.4 \pm 0.55 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 2.25 \pm 0.05 $,$ 0.49 \pm 0.02 $,$ 0.35 \pm 0.01 $,$ 0.02 \pm 0.01 $,$ 1.11 \pm 0.04 $,$ 12.11 \pm 2.18 $
LR,Blobs,OUR,$ 5.8 \pm 0.45 $,$ 1.0 \pm 0.0 $,$ 0.98 \pm 0.01 $,$ 0.99 \pm 0.01 $,$ 2.79 \pm 0.27 $,$ 0.6 \pm 0.05 $,$ 0.43 \pm 0.03 $,$ 0.03 \pm 0.01 $,$ 1.06 \pm 0.04 $,$ 102.75 \pm 63.75 $
LR,Law,GCE,$ 1.0 \pm 0.0 $,$ 0.97 \pm 0.01 $,$ 0.58 \pm 0.07 $,$ 1.0 \pm 0.0 $,$ 0.93 \pm 0.24 $,$ 0.72 \pm 0.04 $,$ 0.43 \pm 0.02 $,$ -0.01 \pm 0.01 $,$ 1.13 \pm 0.02 $,$ 17.53 \pm 5.92 $
LR,Law,GCE w/ magn.,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 0.83 \pm 0.01 $,$ 1.0 \pm 0.0 $,$ 1.73 \pm 0.09 $,$ 0.42 \pm 0.1 $,$ 0.25 \pm 0.06 $,$ 0.04 \pm 0.01 $,$ 1.06 \pm 0.01 $,$ 61.19 \pm 21.18 $
LR,Law,LCF,$ 223.0 \pm 12.59 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 1.84 \pm 0.1 $,$ 0.35 \pm 0.01 $,$ 0.21 \pm 0.01 $,$ 0.06 \pm 0.01 $,$ 1.04 \pm 0.0 $,$ 20.0 \pm 9.67 $
LR,Law,OUR,$ 34.4 \pm 4.83 $,$ 1.0 \pm 0.0 $,$ 0.98 \pm 0.01 $,$ 1.0 \pm 0.0 $,$ 2.01 \pm 0.11 $,$ 0.48 \pm 0.13 $,$ 0.29 \pm 0.08 $,$ 0.05 \pm 0.01 $,$ 1.04 \pm 0.01 $,$ 225.35 \pm 102.63 $
LR,Moons,GCE,$ 1.0 \pm 0.0 $,$ 0.89 \pm 0.05 $,$ 0.36 \pm 0.05 $,$ 1.0 \pm 0.0 $,$ -1.24 \pm 0.48 $,$ 0.66 \pm 0.05 $,$ 0.47 \pm 0.04 $,$ -0.01 \pm 0.01 $,$ 1.36 \pm 0.05 $,$ 45.23 \pm 17.94 $
LR,Moons,GCE w/ magn.,$ 1.0 \pm 0.0 $,$ 0.89 \pm 0.09 $,$ 0.5 \pm 0.15 $,$ 1.0 \pm 0.0 $,$ 0.8 \pm 0.15 $,$ 0.5 \pm 0.05 $,$ 0.37 \pm 0.03 $,$ 0.0 \pm 0.01 $,$ 1.24 \pm 0.06 $,$ 54.76 \pm 10.91 $
LR,Moons,LCF,$ 102.8 \pm 3.96 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 1.26 \pm 0.09 $,$ 0.45 \pm 0.08 $,$ 0.35 \pm 0.05 $,$ 0.03 \pm 0.01 $,$ 1.01 \pm 0.03 $,$ 63.31 \pm 15.34 $
LR,Moons,OUR,$ 22.2 \pm 3.7 $,$ 0.98 \pm 0.04 $,$ 0.87 \pm 0.09 $,$ 0.99 \pm 0.01 $,$ 1.32 \pm 0.11 $,$ 0.51 \pm 0.05 $,$ 0.39 \pm 0.03 $,$ 0.02 \pm 0.0 $,$ 1.07 \pm 0.04 $,$ 181.11 \pm 5.52 $
LR,Wine,GCE,$ 1.0 \pm 0.0 $,$ 0.97 \pm 0.05 $,$ 0.79 \pm 0.16 $,$ 1.0 \pm 0.0 $,$ 8.54 \pm 0.55 $,$ 2.16 \pm 0.35 $,$ 0.72 \pm 0.11 $,$ 0.07 \pm 0.01 $,$ 1.02 \pm 0.01 $,$ 8.23 \pm 2.08 $
LR,Wine,GCE w/ magn.,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 0.88 \pm 0.18 $,$ 1.0 \pm 0.0 $,$ 8.76 \pm 0.76 $,$ 1.93 \pm 0.35 $,$ 0.65 \pm 0.11 $,$ 0.07 \pm 0.01 $,$ 1.02 \pm 0.0 $,$ 7.53 \pm 4.06 $
LR,Wine,LCF,$ 11.8 \pm 0.45 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 8.16 \pm 0.61 $,$ 1.46 \pm 0.24 $,$ 0.46 \pm 0.08 $,$ 0.08 \pm 0.01 $,$ 1.02 \pm 0.01 $,$ 4.99 \pm 0.03 $
LR,Wine,OUR,$ 4.4 \pm 0.89 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 8.8 \pm 0.46 $,$ 1.97 \pm 0.46 $,$ 0.63 \pm 0.14 $,$ 0.07 \pm 0.0 $,$ 1.03 \pm 0.02 $,$ 21.15 \pm 5.66 $
MLP,Blobs,GCE,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 0.75 \pm 0.05 $,$ 1.0 \pm 0.0 $,$ 2.62 \pm 0.11 $,$ 0.64 \pm 0.02 $,$ 0.46 \pm 0.01 $,$ 0.02 \pm 0.0 $,$ 1.09 \pm 0.02 $,$ 11.37 \pm 1.5 $
MLP,Blobs,GCE w/ magn.,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 0.93 \pm 0.03 $,$ 1.0 \pm 0.0 $,$ 2.83 \pm 0.08 $,$ 0.59 \pm 0.01 $,$ 0.42 \pm 0.01 $,$ 0.03 \pm 0.0 $,$ 1.05 \pm 0.01 $,$ 11.41 \pm 5.41 $
MLP,Blobs,LCF,$ 100.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 2.31 \pm 0.05 $,$ 0.5 \pm 0.01 $,$ 0.35 \pm 0.01 $,$ 0.02 \pm 0.01 $,$ 1.08 \pm 0.03 $,$ 6.11 \pm 0.01 $
MLP,Blobs,OUR,$ 9.2 \pm 1.92 $,$ 1.0 \pm 0.0 $,$ 0.99 \pm 0.02 $,$ 1.0 \pm 0.01 $,$ 2.83 \pm 0.2 $,$ 0.6 \pm 0.04 $,$ 0.43 \pm 0.03 $,$ 0.03 \pm 0.0 $,$ 1.05 \pm 0.01 $,$ 84.15 \pm 80.8 $
MLP,Law,GCE,$ 1.0 \pm 0.0 $,$ 0.9 \pm 0.02 $,$ 0.62 \pm 0.03 $,$ 1.0 \pm 0.0 $,$ 0.95 \pm 0.27 $,$ 0.67 \pm 0.02 $,$ 0.41 \pm 0.01 $,$ -0.01 \pm 0.01 $,$ 1.13 \pm 0.02 $,$ 19.34 \pm 9.08 $
MLP,Law,GCE w/ magn.,$ 1.0 \pm 0.0 $,$ 0.93 \pm 0.05 $,$ 0.81 \pm 0.01 $,$ 1.0 \pm 0.0 $,$ 1.78 \pm 0.19 $,$ 0.5 \pm 0.09 $,$ 0.3 \pm 0.06 $,$ 0.03 \pm 0.01 $,$ 1.08 \pm 0.02 $,$ 61.24 \pm 28.93 $
MLP,Law,LCF,$ 236.4 \pm 25.07 $,$ 0.96 \pm 0.01 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 2.19 \pm 0.12 $,$ 0.45 \pm 0.02 $,$ 0.27 \pm 0.03 $,$ 0.05 \pm 0.01 $,$ 1.04 \pm 0.01 $,$ 27.22 \pm 31.05 $
MLP,Law,OUR,$ 37.4 \pm 5.03 $,$ 0.95 \pm 0.01 $,$ 0.98 \pm 0.02 $,$ 0.99 \pm 0.01 $,$ 2.17 \pm 0.07 $,$ 0.47 \pm 0.03 $,$ 0.29 \pm 0.02 $,$ 0.05 \pm 0.0 $,$ 1.04 \pm 0.0 $,$ 357.13 \pm 46.87 $
MLP,Moons,GCE,$ 1.0 \pm 0.0 $,$ 0.63 \pm 0.15 $,$ 0.23 \pm 0.08 $,$ 1.0 \pm 0.0 $,$ -2.19 \pm 2.03 $,$ 0.48 \pm 0.17 $,$ 0.37 \pm 0.1 $,$ -0.02 \pm 0.01 $,$ 1.54 \pm 0.09 $,$ 10.15 \pm 4.35 $
MLP,Moons,GCE w/ magn.,$ 1.0 \pm 0.0 $,$ 0.79 \pm 0.05 $,$ 0.74 \pm 0.08 $,$ 1.0 \pm 0.0 $,$ 0.58 \pm 0.79 $,$ 0.57 \pm 0.1 $,$ 0.42 \pm 0.08 $,$ -0.0 \pm 0.01 $,$ 1.26 \pm 0.1 $,$ 55.29 \pm 31.72 $
MLP,Moons,LCF,$ 102.8 \pm 0.84 $,$ 0.99 \pm 0.01 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 1.38 \pm 0.04 $,$ 0.33 \pm 0.01 $,$ 0.26 \pm 0.01 $,$ 0.03 \pm 0.0 $,$ 1.03 \pm 0.02 $,$ 9.71 \pm 3.61 $
MLP,Moons,OUR,$ 19.6 \pm 3.91 $,$ 0.99 \pm 0.01 $,$ 0.98 \pm 0.02 $,$ 0.98 \pm 0.01 $,$ 1.63 \pm 0.04 $,$ 0.42 \pm 0.03 $,$ 0.33 \pm 0.02 $,$ 0.03 \pm 0.01 $,$ 1.01 \pm 0.02 $,$ 152.08 \pm 67.06 $
MLP,Wine,GCE,$ 1.0 \pm 0.0 $,$ 0.95 \pm 0.07 $,$ 0.78 \pm 0.21 $,$ 1.0 \pm 0.0 $,$ 8.7 \pm 0.82 $,$ 2.38 \pm 0.37 $,$ 0.77 \pm 0.11 $,$ 0.06 \pm 0.01 $,$ 1.02 \pm 0.01 $,$ 8.81 \pm 2.72 $
MLP,Wine,GCE w/ magn.,$ 1.0 \pm 0.0 $,$ 0.98 \pm 0.04 $,$ 0.9 \pm 0.18 $,$ 1.0 \pm 0.0 $,$ 9.03 \pm 0.98 $,$ 2.02 \pm 0.29 $,$ 0.67 \pm 0.11 $,$ 0.07 \pm 0.01 $,$ 1.02 \pm 0.01 $,$ 11.53 \pm 7.12 $
MLP,Wine,LCF,$ 11.8 \pm 0.84 $,$ 0.98 \pm 0.03 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 8.26 \pm 0.92 $,$ 1.53 \pm 0.2 $,$ 0.47 \pm 0.08 $,$ 0.08 \pm 0.01 $,$ 1.03 \pm 0.02 $,$ 5.64 \pm 0.51 $
MLP,Wine,OUR,$ 4.0 \pm 0.71 $,$ 0.98 \pm 0.03 $,$ 1.0 \pm 0.0 $,$ 1.0 \pm 0.0 $,$ 9.1 \pm 1.1 $,$ 2.02 \pm 0.3 $,$ 0.65 \pm 0.12 $,$ 0.07 \pm 0.01 $,$ 1.02 \pm 0.01 $,$ 22.9 \pm 12.32 $
