Model,Dataset,Method,Validity,L2,LogDens,Time,ProbPlaus,IsoForest,LOF
MLP,Blobs,GLOBE-CE,0.99,0.25,-4.57,0.66,0.00,-0.06,2.04
MLP,Blobs,$GLANCE_{global}$,1.00,0.42,-49.99,43.30,0.00,0.01,1.11
MLP,Blobs,OUR$_{global}$,1.00,0.48,2.89,7.89,0.92,0.03,1.04
MLP,Digits,GLOBE-CE,0.00,999,-999,0.95,-999,-999,999
MLP,Digits,$GLANCE_{global}$,0.30,11.24,-285.44,678.36,0.00,0.09,1.31
MLP,Digits,OUR$_{global}$,1.00,17.08,-99.42,31.48,0.72,0.10,1.09
MLP,Heloc,GLOBE-CE,1.00,0.52,-17.27,2.02,0.17,0.03,1.47
MLP,Heloc,$GLANCE_{global}$,0.97,0.68,-2.43,99.89,0.00,-0.01,1.67
MLP,Heloc,OUR$_{global}$,1.00,0.36,29.25,32.47,0.46,0.06,1.15
MLP,Law,GLOBE-CE,1.00,0.22,-14.50,0.81,0.37,0.01,1.24
MLP,Law,$GLANCE_{global}$,0.97,0.45,-0.26,90.81,0.34,-0.04,1.22
MLP,Law,OUR$_{global}$,1.00,0.38,1.50,13.44,0.79,0.01,1.09
MLP,Moons,GLOBE-CE,1.00,0.30,-17.53,0.65,0.00,-0.06,2.36
MLP,Moons,$GLANCE_{global}$,0.68,0.39,-2.04,77.97,0.30,-0.02,1.63
MLP,Moons,OUR$_{global}$,0.91,0.45,-0.33,9.55,0.63,-0.01,1.48
MLP,Wine,GLOBE-CE,1.00,0.73,-14.74,0.39,0.00,0.04,1.86
MLP,Wine,$GLANCE_{global}$,0.57,0.46,-64.51,5.82,0.00,0.06,1.20
MLP,Wine,OUR$_{global}$,1.00,0.73,7.78,5.73,0.95,0.06,1.09
LR,Blobs,GLOBE-CE,1.00,0.29,-6.03,0.22,0.00,-0.08,2.22
LR,Blobs,$GLANCE_{global}$,1.00,0.42,-69.32,38.36,0.00,0.02,1.11
LR,Blobs,OUR$_{global}$,1.00,0.50,2.83,7.93,0.92,0.02,1.04
LR,Digits,GLOBE-CE,0.00,999,-999,0.16,-999,-999,999
LR,Digits,$GLANCE_{global}$,0.50,10.94,-312.00,534.20,0.00,0.09,1.32
LR,Digits,OUR$_{global}$,1.00,15.61,-100.41,34.46,0.69,0.10,1.10
LR,Heloc,GLOBE-CE,1.00,0.32,-21.66,0.45,0.13,0.05,1.40
LR,Heloc,$GLANCE_{global}$,0.97,0.61,-15.95,61.63,0.00,0.00,1.70
LR,Heloc,OUR$_{global}$,1.00,0.33,29.93,27.45,0.46,0.06,1.14
LR,Law,GLOBE-CE,1.00,0.19,0.10,0.24,0.40,0.02,1.14
LR,Law,$GLANCE_{global}$,0.98,0.47,-1.39,83.25,0.25,-0.05,1.32
LR,Law,OUR$_{global}$,1.00,0.39,1.57,12.71,0.82,0.01,1.07
LR,Moons,GLOBE-CE,1.00,0.28,-0.67,0.22,0.05,-0.01,1.32
LR,Moons,$GLANCE_{global}$,1.00,0.53,-17.44,67.90,0.25,-0.04,1.92
LR,Moons,OUR$_{global}$,1.00,0.46,0.89,11.95,0.59,0.00,1.17
LR,Wine,GLOBE-CE,1.00,0.73,-15.72,0.20,0.06,0.03,1.63
LR,Wine,$GLANCE_{global}$,0.60,0.47,-249.34,2.77,0.00,0.06,1.17
LR,Wine,OUR$_{global}$,1.00,0.76,7.75,6.07,0.95,0.06,1.11