Model,Dataset,Method,Coverage,Validity,L2,LogDens,Time,ProbPlaus,IsoForest,LOF
MLP,Blobs,DiCE,1.00,1.00,0.51,-6.63,8.15,0.07,-0.10,2.91
MLP,Blobs,Wach,0.99,1.00,0.23,-1.55,0.22,0.00,-0.04,1.62
MLP,Blobs,CCHVAE,1.00,1.00,0.37,-8.92,2.15,0.00,-0.06,2.78
MLP,Blobs,OUR$_{local}$,1.00,1.00,0.39,2.74,6.20,1.00,0.03,1.04
MLP,Digits,DiCE,1.00,1.00,23.77,-596.90,162.88,0.00,0.03,1.88
MLP,Digits,Wach,1.00,1.00,2.10,-128.91,16.41,0.01,0.09,1.29
MLP,Digits,CCHVAE,1.00,1.00,2.19,-74.81,3.38,0.09,0.04,1.07
MLP,Digits,OUR$_{local}$,1.00,1.00,11.41,-101.31,18.58,1.00,0.11,1.23
MLP,Heloc,DiCE,1.00,1.00,1.00,-35.19,230.85,0.00,-0.01,2.00
MLP,Heloc,Wach,1.00,1.00,0.16,21.30,33.88,0.24,0.06,1.13
MLP,Heloc,CCHVAE,1.00,1.00,0.59,35.90,14.60,0.74,0.11,1.00
MLP,Heloc,OUR$_{local}$,1.00,1.00,0.47,33.36,20.21,1.00,0.08,1.09
MLP,Law,DiCE,1.00,1.00,0.52,-0.80,43.82,0.30,-0.05,1.32
MLP,Law,Wach,0.97,1.00,0.16,1.06,21.66,0.57,0.05,1.05
MLP,Law,CCHVAE,1.00,1.00,0.31,2.65,0.28,1.00,0.09,1.02
MLP,Law,OUR$_{local}$,1.00,1.00,0.32,2.33,7.80,1.00,0.05,1.03
MLP,Moons,DiCE,1.00,1.00,0.55,-3.44,17.85,0.29,-0.04,1.67
MLP,Moons,Wach,0.97,1.00,0.16,-2.66,0.23,0.00,-0.00,1.58
MLP,Moons,CCHVAE,1.00,1.00,0.28,-1.56,0.10,0.00,0.02,1.41
MLP,Moons,OUR$_{local}$,1.00,1.00,0.30,1.47,7.32,1.00,0.03,1.00
MLP,Wine,DiCE,1.00,1.00,0.72,-3.66,0.70,0.03,0.03,1.46
MLP,Wine,Wach,1.00,1.00,0.43,0.22,0.10,0.09,0.03,1.36
MLP,Wine,CCHVAE,1.00,1.00,0.79,5.50,0.02,0.08,0.09,1.03
MLP,Wine,OUR$_{local}$,1.00,1.00,0.69,7.38,5.49,1.00,0.05,1.18
LR,Blobs,DiCE,1.00,1.00,0.49,-6.63,12.65,0.05,-0.10,2.85
LR,Blobs,Wach,0.99,1.00,0.32,1.00,0.34,0.18,-0.01,1.31
LR,Blobs,CCHVAE,1.00,1.00,0.33,-6.05,0.94,0.00,-0.05,2.64
LR,Blobs,OUR$_{local}$,1.00,1.00,0.45,3.01,6.56,1.00,0.04,1.03
LR,Digits,DiCE,1.00,1.00,22.20,-411.41,138.12,0.00,0.04,1.84
LR,Digits,Wach,1.00,1.00,2.46,-117.81,9.68,0.07,0.10,1.24
LR,Digits,CCHVAE,1.00,1.00,2.07,-69.42,2.61,0.07,0.04,1.07
LR,Digits,OUR$_{local}$,1.00,1.00,10.55,-100.92,17.16,1.00,0.11,1.20
LR,Heloc,DiCE,1.00,0.98,0.88,-43.76,175.64,0.01,0.01,1.99
LR,Heloc,Wach,1.00,1.00,0.15,16.87,11.69,0.20,0.06,1.14
LR,Heloc,CCHVAE,1.00,1.00,0.56,37.79,8.29,0.92,0.12,1.02
LR,Heloc,OUR$_{local}$,1.00,1.00,0.44,33.93,19.36,1.00,0.08,1.08
LR,Law,DiCE,1.00,0.96,0.55,-2.31,43.05,0.19,-0.06,1.42
LR,Law,Wach,1.00,1.00,0.19,1.35,10.33,0.64,0.04,1.07
LR,Law,CCHVAE,1.00,1.00,0.32,2.83,0.12,1.00,0.09,1.02
LR,Law,OUR$_{local}$,1.00,1.00,0.34,2.18,7.65,1.00,0.04,1.04
LR,Moons,DiCE,1.00,1.00,0.62,-17.28,18.04,0.24,-0.07,2.04
LR,Moons,Wach,0.99,1.00,0.28,-0.24,7.50,0.15,0.00,1.28
LR,Moons,CCHVAE,1.00,1.00,0.34,-1.61,0.37,0.00,0.03,1.63
LR,Moons,OUR$_{local}$,1.00,1.00,0.39,1.27,6.73,0.88,0.03,1.08
LR,Wine,DiCE,1.00,1.00,0.78,-3.63,1.18,0.03,0.02,1.48
LR,Wine,Wach,1.00,1.00,0.41,2.30,0.11,0.20,0.05,1.26
LR,Wine,CCHVAE,1.00,1.00,0.81,4.66,0.01,0.11,0.09,1.05
LR,Wine,OUR$_{local}$,1.00,1.00,0.71,7.71,5.66,1.00,0.05,1.21